period,resource,kind,capacity,full_demand_load,headroom_xi,critical
12,K28,edge,6048000.0,62378.867456186956,96.95591226063752,False
12,K29,edge,6048000.0,12343.453510436433,489.9763259031514,False
12,K31,edge,1728000.0,6913.235294117647,249.95532865347798,False
12,K32,edge,1728000.0,16758.235294117647,103.11348239671452,False
12,K33,edge,1728000.0,18771.28513614458,92.05549793033045,False
12,K34,edge,1728000.0,46916.47057294118,36.831415042473694,False
12,K35,edge,1728000.0,11479.411764705883,150.53036126056878,False
13,K1,edge,6048000.0,651793.9023988054,9.279006719365537,False
13,K3,edge,2592000.0,31267.058823529413,82.89874703691162,False
13,K2,edge,6048000.0,587937.1484553358,10.286813847176818,False
13,K5,edge,86932.180615,36596.47058470588,2.375425258940955,False
13,K6,edge,29366.500423,15266.470588235294,1.9235946025160868,False
13,K4,edge,6048000.0,506677.3498596278,11.936590419278788,False
13,K8,edge,18334.941175,20372.15686117647,0.8999999999971126,True
13,K7,edge,6048000.0,460971.3255054699,13.120121936799807,False
13,K11,edge,87551.520426,42632.35293529412,2.053640355222303,False
13,K9,edge,6048000.0,395290.4062949023,15.300143650559413,False
13,K12,edge,42906.161145,22868.823529411766,1.8761857639864188,False
13,K10,edge,6048000.0,348704.15838779643,17.344215302629042,False
13,K14,edge,1728000.0,6458.823527058824,267.5409837040222,False
13,K13,edge,6048000.0,324810.1269413478,18.6201090986677,False
13,K16,edge,1728000.0,35952.5,48.06341700855295,False
13,K15,edge,6048000.0,256376.61424721297,23.59029515136733,False
13,K19,edge,1728000.0,9691.6666575,178.2975066174783,False
13,K20,edge,1728000.0,9059.375,190.74163504656778,False
13,K21,edge,1728000.0,20879.41176470588,82.76095224679533,False
13,K22,edge,1728000.0,11278.75,153.2084672503602,False
13,K23,edge,1728000.0,18960.0,91.13924050632912,False
13,K17,edge,6048000.0,173688.58011264645,34.82094214874429,False
13,K25,edge,1728000.0,6407.017537894737,269.7042718830763,False
13,K24,edge,6048000.0,153386.47616574,39.429812530962,False
13,K26,edge,6048000.0,128822.95224590291,46.94815554650007,False
13,K27,edge,6048000.0,102994.15757478423,58.72177745236216,False
13,K28,edge,6048000.0,70672.07295570425,85.57835856591836,False
13,K29,edge,6048000.0,14818.469323213156,408.13932047123103,False
13,K31,edge,1728000.0,13826.470588235294,124.97766432673899,False
13,K32,edge,1728000.0,19387.647058823528,89.12891774629085,False
13,K33,edge,1728000.0,23052.610437349398,74.95897285455914,False
13,K34,edge,1728000.0,52319.99998470588,33.027522945434384,False
13,K35,edge,1728000.0,13781.176470588236,125.38842410790507,False
14,K1,edge,6048000.0,678457.8112252654,8.914334686599855,False
14,K3,edge,2592000.0,31596.397063529414,82.0346698007493,False
14,K2,edge,6048000.0,612938.5236004727,9.86722120918969,False
14,K5,edge,86932.180615,37431.25377882353,2.3224490723359437,False
14,K6,edge,29366.500423,15646.004907058823,1.8769328398811291,False
14,K4,edge,6048000.0,529214.3387345667,11.42826177851058,False
14,K8,edge,46140.063039,20821.167047058825,2.216017139419555,False
14,K7,edge,6048000.0,481932.45475077955,12.549476467874706,False
14,K11,edge,87551.520426,43269.57013647059,2.023397046697386,False
14,K9,edge,6048000.0,414566.26187677,14.588741429706044,False
14,K12,edge,21241.886882,23602.096535294117,0.9000000000099692,True
14,K10,edge,6048000.0,366090.1896288697,16.520519181711112,False
14,K14,edge,1728000.0,6894.532430588235,250.63338484471652,False
14,K13,edge,6048000.0,340891.147716838,17.741733807132434,False
14,K16,edge,1728000.0,36699.6193925,47.08495697241855,False
14,K15,edge,6048000.0,270102.41355265415,22.391506689817096,False
14,K18,edge,1728000.0,3798.0769175,454.9670892756479,False
14,K19,edge,1728000.0,10437.1794875,165.5619702688379,False
14,K20,edge,1728000.0,9321.56250125,185.3766468623988,False
14,K21,edge,1728000.0,21728.092010588236,79.52838192870017,False
14,K22,edge,1728000.0,11442.8125,151.01182510855614,False
14,K23,edge,1728000.0,19387.254905882353,89.13072058879783,False
14,K17,edge,6048000.0,180482.31455230087,33.5102085487018,False
14,K25,edge,1728000.0,6899.865047368421,250.4396807962283,False
14,K24,edge,6048000.0,159143.86434074838,38.003350145189515,False
14,K26,edge,6048000.0,132449.0144251313,45.66285393855247,False
14,K27,edge,6048000.0,106220.19115093355,56.93832720942948,False
14,K28,edge,6048000.0,72782.04523771098,83.0974175051942,False
14,K29,edge,6048000.0,15077.271772296015,401.1335798239704,False
14,K31,edge,1728000.0,15554.779411764706,111.09125717932355,False
14,K32,edge,1728000.0,19606.372552941175,88.13461007812894,False
14,K33,edge,1728000.0,23878.328709638554,72.36687378805067,False
14,K34,edge,1728000.0,54065.67120352941,31.96113100112953,False
14,K35,edge,1728000.0,14021.862748235295,123.23612283378509,False
15,K1,edge,6652800.0,712841.1594891507,9.332794426135061,False
15,K3,edge,2851200.0,34186.46010117647,83.40143997248433,False
15,K2,edge,6652800.0,643012.6414135167,10.346297368859398,False
15,K5,edge,43807.902661,48675.44740117647,0.8999999999987915,True
15,K6,edge,32303.150466,16612.32844117647,1.9445287625021408,False
15,K4,edge,6652800.0,545574.233500488,12.194124266673327,False
15,K8,edge,50754.069343,24103.39664117647,2.1056812074483924,False
15,K7,edge,6652800.0,494192.1251842871,13.461970883326263,False
15,K11,edge,96306.672469,29345.281187058823,3.28184527710271,False
15,K9,edge,6652800.0,440137.2377380139,15.115285482752073,False
15,K12,edge,47196.777259,16943.68994352941,2.785507608808899,False
15,K10,edge,6652800.0,396785.31353020365,16.766749607766375,False
15,K14,edge,1900800.0,12643.433523529411,150.33890884644697,False
15,K13,edge,6652800.0,364302.6143301641,18.261741031511317,False
15,K16,edge,1900800.0,39668.7368525,47.91682697303249,False
15,K15,edge,6652800.0,288203.61604464764,23.083679834778227,False
15,K18,edge,1900800.0,4177.884625,454.96708756049003,False
15,K19,edge,1900800.0,17122.390105,111.01253904061778,False
15,K20,edge,1900800.0,15107.67857625,125.81681496640718,False
15,K21,edge,1900800.0,20283.835390588236,93.71008802812398,False
15,K22,edge,1900800.0,9817.8124975,193.60728273065087,False
15,K23,edge,1900800.0,22908.095245882352,82.97503479001215,False
15,K17,edge,6652800.0,184375.73880219468,36.0828384646495,False
15,K25,edge,1900800.0,16252.284551578947,116.95586512576368,False
15,K24,edge,6652800.0,153373.39514644016,43.376492993768174,False
15,K26,edge,6652800.0,123625.86042736583,53.81398339313265,False
15,K27,edge,6652800.0,94455.63181776225,70.43306864788713,False
15,K28,edge,6652800.0,64744.02871440461,102.75542211539654,False
15,K29,edge,6652800.0,10695.325443390258,622.0287578169441,False
15,K31,edge,1900800.0,19011.397058823528,99.98213146139119,False
15,K32,edge,1900800.0,22988.935588235294,82.68325398122148,False
15,K33,edge,1900800.0,21210.596239759037,89.6155854608637,False
15,K34,edge,1900800.0,50811.50183529412,37.40885294360041,False
15,K35,edge,1900800.0,9946.65266235294,191.09946476711033,False
16,K1,edge,6048000.0,731307.5161458316,8.270118748231155,False
16,K3,edge,2592000.0,34540.44818705882,75.04245416743427,False
16,K2,edge,6048000.0,660201.6921514812,9.160836865307981,False
16,K5,edge,51005.010997,56672.23444117647,0.8999999999989621,True
16,K6,edge,29366.500423,19448.627448235293,1.5099523347425023,False
16,K4,edge,6048000.0,551070.7456544954,10.974997398595193,False
16,K8,edge,46140.063039,26251.738852941176,1.7576002602140235,False
16,K7,edge,6048000.0,497265.4695188294,12.162517549936144,False
16,K11,edge,87551.520426,12834.518432941177,6.8215664563844935,False
16,K9,edge,6048000.0,459567.6776099468,13.160194449386792,False
