edge,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
K15,-0.0,-0.0,-0.0,1.5297460357267724e-16,1.7845724897824766e-16,9.105582370708606e-17,-1.9984014443252818e-16,-1.3569392523196359e-17,1.3157894736842106,1.3157894736842106,1.3157894736842106,1.238390092879257,1.3157894736842106,1.238390092879257,1.2043839576056847,1.4473937504432643,1.5235723688876464,1.7145988528458882,1.7623740530799843,1.895025863526865
K16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K13,-0.0,-0.0,-0.0,1.6997178174741916e-16,1.9828583219805294e-16,1.0117313745231785e-16,-2.220446049250313e-16,1.3888888888888888,1.4619883040935673,1.4619883040935673,1.4619883040935673,1.3759889920880635,1.4619883040935673,1.3759889920880635,1.3382043973396496,1.6082152782702936,1.6928581876529403,1.9051098364954313,1.9581933923110937,2.105584292807628
K14,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10,-0.0,-0.0,-0.0,1.7891766499728334e-16,2.0872192862952942e-16,1.0649803942349248e-16,1.2383900928792568,1.4619883040935673,1.5389350569405973,1.5389350569405973,1.5389350569405973,1.4484094653558564,1.5389350569405973,1.4484094653558564,1.4086362077259469,1.6928581876529407,1.7819559870030952,2.005378775258349,2.0612562024327303,2.2164045187448713
K12,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K9,-0.0,-0.0,-0.0,1.9033794148647166e-16,2.220446049250313e-16,1.251564455569462,1.3174362690204862,1.5553067064825186,1.637164954192125,1.637164954192125,1.637164954192125,1.5408611333572941,1.637164954192125,1.5408611333572941,1.4985491571552627,1.800912965588235,1.8956978585139312,2.1333816758067545,2.1928257472688624,2.3578771476009273
K11,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K7,-0.0,-0.0,-0.0,2.003557278804965e-16,1.2383900928792573,1.3174362690204864,1.3867750200215645,1.637164954192125,1.7233315307285526,1.7233315307285526,1.7233315307285526,1.6219590877445202,1.7233315307285526,1.6219590877445202,1.5774201654265925,1.8956978585139317,1.9954714300146645,2.245664921901847,2.308237628704066,2.4819759448430814
K8,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K4,-0.0,-0.0,-0.0,1.2383900928792573,1.3035685188202708,1.3867750200215647,1.459763178970068,1.7233315307285526,1.8140331902405817,1.8140331902405817,1.8140331902405817,1.7073253555205476,1.8140331902405817,1.7073253555205476,1.6604422793964133,1.995471430014665,2.1004962421206996,2.36385781252826,2.4297238196884905,2.6126062577295595
K6,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2,-0.0,1.238390092879257,1.238390092879257,1.3035685188202708,1.372177388231864,1.4597631789700682,1.5365928199684926,1.8140331902405817,1.9095086213058756,1.9095086213058756,1.9095086213058756,1.7971845847584713,1.9095086213058756,1.7971845847584713,1.747833978312014,2.1004962421207,2.211048675916526,2.488271381608695,2.557604020724727,2.7501118502416415
K3,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1,1.238390092879257,1.3035685188202706,1.3035685188202706,1.372177388231864,1.4443972507703833,1.536592819968493,1.617466126282624,1.9095086213058756,2.0100090750588167,2.0100090750588167,2.0100090750588167,1.8917732471141804,2.0100090750588167,1.8917732471141804,1.8398252403284359,2.2110486759165267,2.3274196588595015,2.6192330332723106,2.6922147586576073,2.894854579201728
