period,edge,full_demand_load,capacity,ratio
15,K23,22908.095245882352,1900800.0,82.97503479001215
15,K17,184375.73880219468,6652800.0,36.0828384646495
15,K25,16252.284551578947,1900800.0,116.95586512576368
15,K24,153373.39514644016,6652800.0,43.376492993768174
15,K26,123625.86042736583,6652800.0,53.81398339313265
15,K27,94455.63181776225,6652800.0,70.43306864788713
15,K28,64744.02871440461,6652800.0,102.75542211539654
15,K29,10695.325443390258,6652800.0,622.0287578169441
15,K30,0.0,6652800.0,
15,K31,19011.397058823528,1900800.0,99.98213146139119
15,K32,22988.935588235294,1900800.0,82.68325398122148
15,K33,21210.596239759037,1900800.0,89.6155854608637
15,K34,50811.50183529412,1900800.0,37.40885294360041
15,K35,9946.65266235294,1900800.0,191.09946476711033
16,K1,731307.5161458316,6048000.0,8.270118748231155
16,K3,34540.44818705882,2592000.0,75.04245416743427
16,K2,660201.6921514812,6048000.0,9.160836865307981
16,K5,56672.23444117647,51005.010997,0.8999999999989621
16,K6,19448.627448235293,29366.500423,1.5099523347425023
16,K4,551070.7456544954,6048000.0,10.974997398595193
16,K8,26251.738852941176,46140.063039,1.7576002602140235
16,K7,497265.4695188294,6048000.0,12.162517549936144
16,K11,12834.518432941177,87551.520426,6.8215664563844935
16,K9,459567.6776099468,6048000.0,13.160194449386792
16,K12,13635.54406,42906.161145,3.146640937552733
16,K10,418358.07289335,6048000.0,14.456515582864796
16,K14,17243.26654705882,1728000.0,100.21303070877508
16,K13,380196.9027016237,6048000.0,15.907546739659885
16,K16,38378.07235625,1728000.0,45.025711139412905
16,K15,303799.1400752113,6048000.0,19.907890451904183
16,K18,5849.03845875,1728000.0,295.43317456136054
16,K19,19218.4066125,1728000.0,89.91380164035438
16,K20,18943.63095875,1728000.0,91.2179932011314
16,K21,20364.94936235294,1728000.0,84.85167182366855
16,K22,7150.000005,1728000.0,241.67832150931585
16,K23,26005.714291764707,1728000.0,66.4469347241583
16,K17,191077.4433823331,6048000.0,31.65208772392019
16,K25,20926.547157894736,1728000.0,82.57453974427385
16,K24,154864.7007538517,6048000.0,39.05344452647695
16,K26,121901.81875990561,6048000.0,49.61369782276974
16,K27,90634.51493249855,6048000.0,66.72954563175342
16,K28,59150.47006929658,6048000.0,102.24770814018187
16,K29,7901.268032890575,6048000.0,765.4467580170696
16,K30,0.0,6048000.0,
16,K31,22122.352941176472,1728000.0,78.11104020421187
16,K32,25172.212889411763,1728000.0,68.64712322240258
16,K33,23326.938519277108,1728000.0,74.07744477793351
16,K34,48291.67853294118,1728000.0,35.782562389528046
16,K35,7348.179270588235,1728000.0,235.16029432168037
17,K1,865049.4103920248,6048000.0,6.991508146637722
17,K3,39009.635834117646,2592000.0,66.4451216879356
17,K2,782787.3040383059,6048000.0,7.726236704145676
17,K5,67835.57420588235,86932.180615,1.2815131534253554
17,K6,19841.96078235294,29366.500423,1.4800200819426073
17,K4,655970.4038481553,6048000.0,9.2199281621858
17,K8,31051.540605882354,27946.386545,0.899999999990528
17,K7,592120.3430498652,6048000.0,10.214139863609905
17,K11,19146.218490588235,87551.520426,4.5727839400264845
17,K9,543368.1074067837,6048000.0,11.130575971534272
17,K12,11525.826334117646,42906.161145,3.722610414317392
17,K10,499240.19462825905,6048000.0,12.114409186350514
17,K14,21232.49299764706,1728000.0,81.38469656820295
17,K13,453045.69189919904,6048000.0,13.349646863755316
17,K16,47375.23807125,1728000.0,36.47475074217409
17,K15,360365.88463802915,6048000.0,16.78294271966098
17,K18,7900.0,1728000.0,218.73417721518987
17,K19,29026.19048,1728000.0,59.532441957571
17,K20,23531.19046625,1728000.0,73.43444873638725
17,K21,21742.633050588236,1728000.0,79.47519493059971
17,K22,9086.2499975,1728000.0,190.17746600362565
17,K23,28412.268898823528,1728000.0,60.818796490819906
17,K17,222649.05751296593,6048000.0,27.163824844162193
17,K25,29054.636588421054,1728000.0,59.47415637918005
17,K24,175782.4963235076,6048000.0,34.40615605361155
17,K26,135824.78040439147,6048000.0,44.52795713707965
17,K27,100325.67025005425,6048000.0,60.28367400811588
17,K28,68876.2795926096,6048000.0,87.80962089957234
17,K29,7643.8661518026565,6048000.0,791.2226456992182
17,K30,0.0,6048000.0,
17,K31,27652.941176470587,1728000.0,62.488832163369494
17,K32,28707.871134117646,1728000.0,60.19255109259466
17,K33,22420.080334939757,1728000.0,77.07376486546576
17,K34,57788.59946117647,1728000.0,29.902091694762472
17,K35,7108.79552117647,1728000.0,243.0791538246446
18,K1,1039805.0750341734,6048000.0,5.816474784758317
18,K3,47096.47059294118,2592000.0,55.03597121752239
18,K2,940718.3506895236,6048000.0,6.429129394113513
18,K5,79512.5490317647,86932.180615,1.0933139696008387
18,K6,23725.49020117647,29366.500423,1.2377615878108943
18,K4,790444.3939221062,6048000.0,7.651392111202696
18,K8,37979.21569058824,46140.063039,1.2148766687257877
18,K7,712942.9585354127,6048000.0,8.483147112392146
18,K11,22823.52941764706,87551.520426,3.8360202238618504
18,K9,654472.281190995,6048000.0,9.241033079344438
18,K12,11979.607848235295,42906.161145,3.5815998059836716
