family,family_label,capacity_rule,instance,G1_closed_vs_lp,G3_operator_balance,G4_node_residual,G5_physical_abs,G5_physical_rel,G6_floor,G7_satisfaction,G8_variation_excess,lambda_star,bottleneck_class,bottleneck_count,bottleneck_slack_lp,bottleneck_slack_stage3,bottleneck_tight,lp_relax_others,lp_relax_named,bottleneck_sufficient,bottleneck_necessary,bottleneck_identified,omega_stage2,omega_stage3,stage2_face_width,stage2_multiplicity_not_detected,stage3_active,stage3_outcome,stage3_relative_reduction,ratios_moved_by_stage3,users,edges,periods,active_records,gate_violations
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,demand (lambda* = 1),0,0.0,0.0,True,1.0,1.0,True,True,True,0.0,0.0,0.0,True,False,inactive: multiplicity not detected,0.0,0,1,3,3,3,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-15,0.23714834364282225,edge,1,0.0,0.0,True,0.23714834364282225,0.23738549198646508,True,True,True,4.123449294633897,4.123449294633906,0.0,True,False,inactive: multiplicity not detected,-2.1539695440319042e-15,0,5,8,3,14,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_2,0.0,0.0,0.0,5.684341886080802e-14,2.2093157355737203e-16,0.0,1.6653345369377348e-16,0.0,0.21696481815991717,edge,1,0.0,1.6035848329336876e-16,True,0.21696481815991717,0.21718178297807708,True,True,True,8.878016422286317,8.442601687625674,0.21429162064580032,False,True,active,0.049044146118904425,4,12,21,3,34,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_3,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.4898816580498628,edge,1,0.0,0.0,True,0.48988165804986283,0.4903715397079127,True,True,True,1.44149982261029,1.441499822610297,1.1505524366378967,False,False,inactive: multiplicity detected; no reduction above the activity threshold,-4.929190587574534e-15,0,7,11,3,20,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_4,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,0.0,0.0,0.47424452697753106,source,1,1.8939566379184175e-16,0.0,True,0.47424452697753106,0.4747187715045086,True,True,True,3.680288311157283,3.6802883111572635,0.2399865650785351,False,False,inactive: multiplicity detected; no reduction above the activity threshold,5.309346328700628e-15,0,11,21,3,28,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_5,2.7755575615628914e-17,0.0,0.0,2.842170943040401e-14,1.4227885037303798e-16,6.63358257213531e-15,0.0,1.7763568394002505e-13,0.1969303714409681,source,1,1.6729040620230402e-16,1.6729040620230402e-16,True,0.19693037144096812,0.1971273018124091,True,True,True,8.402197415968088,8.402197415968265,0.033952202997369785,False,False,inactive: multiplicity detected; no reduction above the activity threshold,-2.1141574655510298e-14,0,11,20,3,32,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_6,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.8223423175615272,edge,1,1.2056027196718484e-16,0.0,True,0.822342317561527,0.8231646598790885,True,True,True,0.7106307297538924,0.7106307297538924,0.0,True,False,inactive: multiplicity not detected,0.0,0,5,9,3,13,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_7,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.3182233766214665,edge,1,0.0,0.0,True,0.31822337662146655,0.31854159999808795,True,True,True,3.5025665353031146,2.894495492830119,0.35875525830807775,False,True,active,0.1736072780756962,2,6,10,3,17,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_8,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.0769163338864018e-14,0.0,0.0,0.44126569603739924,source,1,1.5521329131604142e-16,0.0,True,0.4412656960373991,0.44170696173343654,True,True,True,5.480375399865328,5.2460674659456075,0.36274502983691925,False,True,active,0.04275399344458744,2,9,15,3,26,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_9,1.3877787807814457e-17,0.0,0.0,0.0,0.0,7.494005416219807e-16,0.0,0.0,0.11952367375035791,edge,1,0.0,0.0,True,0.1195236737503579,0.11964319742410827,True,True,True,8.804763262496422,8.80476326249634,5.417888360170764e-14,True,False,inactive: multiplicity not detected,9.280478324779345e-15,0,8,12,3,20,0
