F,phase,repeat,ms
100,cf_scan,4,0.06239989306777716
100,cf_scan,5,0.04770001396536827
100,cf_scan,6,0.04870002157986164
100,cf_scan,7,0.04740001168102026
100,cf_scan,8,0.04809990059584379
100,cf_scan,9,0.047600013203918934
100,cf_scan,10,0.04630000330507755
100,cf_scan,11,0.04980002995580435
100,cf_scan,12,0.04819990135729313
100,cf_scan,13,0.04700000863522291
100,cf_scan,14,0.04780001472681761
100,cf_scan,15,0.05050003528594971
100,cf_scan,16,0.04870002157986164
100,cf_scan,17,0.04700000863522291
100,cf_scan,18,0.04870002157986164
100,cf_scan,19,0.05150004290044308
100,cf_scan,20,0.04730001091957092
100,cf_scan,21,0.04810001701116562
100,cf_scan,22,0.04680000711232424
100,cf_scan,23,0.046600005589425564
100,cf_scan,24,0.05110003985464573
100,cf_scan,25,0.049299909733235836
100,cf_scan,26,0.05200004670768976
100,cf_scan,27,0.04700000863522291
100,cf_scan,28,0.04980002995580435
100,cf_scan,29,0.0467000063508749
100,cf_scan,30,0.050600036047399044
100,lp_build,1,2.563399961218238
100,lp_build,2,2.465300029143691
100,lp_build,3,2.454300061799586
100,lp_build,4,2.4980000453069806
100,lp_build,5,2.596799982711673
100,lp_build,6,2.4531999370083213
100,lp_build,7,2.446600003167987
100,lp_build,8,2.4347000289708376
100,lp_build,9,2.5211001047864556
100,lp_build,10,2.4507000343874097
100,lp_build,11,2.5416999123990536
100,lp_build,12,2.52470001578331
100,lp_build,13,2.519099973142147
100,lp_build,14,2.453099936246872
100,lp_build,15,2.4926000041887164
100,lp_build,16,2.4612999986857176
100,lp_build,17,2.6181000284850597
100,lp_build,18,2.5951999705284834
100,lp_build,19,2.612899988889694
100,lp_build,20,2.526800031773746
100,lp_build,21,2.4748999858275056
100,lp_build,22,2.452600048854947
100,lp_build,23,2.465900033712387
100,lp_build,24,2.4634000146761537
100,lp_build,25,2.5719000259414315
100,lp_build,26,2.457299968227744
100,lp_build,27,2.8158000204712152
100,lp_build,28,2.4830999318510294
100,lp_build,29,2.465900033712387
100,lp_build,30,2.5215999921783805
100,lp_solve,1,9.708800003863871
100,lp_solve,2,9.766800096258521
100,lp_solve,3,9.65689995791763
100,lp_solve,4,9.560199920088053
100,lp_solve,5,9.652400040067732
100,lp_solve,6,9.77849995251745
100,lp_solve,7,9.781300090253353
100,lp_solve,8,9.776599938049912
100,lp_solve,9,9.862900013104081
100,lp_solve,10,9.770200005732477
100,lp_solve,11,9.816300007514656
100,lp_solve,12,9.78750002104789
100,lp_solve,13,9.716899949125946
100,lp_solve,14,9.683100041002035
100,lp_solve,15,9.69130010344088
100,lp_solve,16,9.64390009175986
100,lp_solve,17,9.660399984568357
100,lp_solve,18,10.11489995289594
100,lp_solve,19,9.649400017224252
100,lp_solve,20,9.327100007794797
100,lp_solve,21,9.278599987737834
100,lp_solve,22,9.186299983412027
100,lp_solve,23,9.244800079613924
100,lp_solve,24,9.343700017780066
100,lp_solve,25,9.42450005095452
100,lp_solve,26,9.445399977266788
100,lp_solve,27,9.552799980156124
100,lp_solve,28,9.146800031885505
100,lp_solve,29,9.256200050003827
100,lp_solve,30,9.90439997985959
100,cf_total,1,1.8446000758558512
100,cf_total,2,1.8428999464958906
100,cf_total,3,1.8773000920191407
100,cf_total,4,1.8573999404907227
100,cf_total,5,1.8578000599518418
100,cf_total,6,1.845699967816472
100,cf_total,7,1.8382999114692211
100,cf_total,8,1.8551998073235154
100,cf_total,9,1.8479001009836793
100,cf_total,10,1.8460999708622694
100,cf_total,11,1.8712999299168587
100,cf_total,12,1.8498998833820224
100,cf_total,13,1.8313999753445387
100,cf_total,14,1.843599951826036
100,cf_total,15,2.126100123859942
100,cf_total,16,1.873199944384396
100,cf_total,17,1.8577000591903925
100,cf_total,18,1.8804999999701977
100,cf_total,19,1.8729999428614974
100,cf_total,20,1.8640999915078282
100,cf_total,21,1.8636999884620309
100,cf_total,22,1.8340999959036708
100,cf_total,23,1.8616999732330441
