scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
demand,0.8351887310122403,source:18,source:18,source,1,0.009153176766694606,0.9112246499679858,8.040417888167381,1e-09,162.0
demand,0.8294930879078541,edge:25:K6,edge:25:K6,edge,1,0.006916381166996982,0.909726580408402,7.121247596625388,1e-09,163.0
demand,0.8204193254318974,edge:15:K5,edge:15:K5,edge,1,0.010128913434555978,0.9171400114990054,8.03111228255698,1e-09,164.0
demand,0.8356545960914838,edge:17:K8,edge:17:K8,edge,1,0.007372114082362571,0.9085010995679167,7.4400920816910245,1e-09,165.0
demand,0.8177237326302073,source:19,source:19,source,1,0.0014706242474048553,0.9103315600182733,9.173895362339053,1e-09,166.0
demand,0.8196721314936446,edge:26:K6,edge:26:K6,edge,1,0.010119594779041185,0.9119798796144613,11.378583780939879,1e-09,167.0
demand,0.836034128593368,source:23,source:23,source,1,0.002338060318897216,0.9154547960126431,6.963338004056027,1e-09,168.0
demand,0.8312934614934264,source:23,source:23,source,1,0.01109468988490636,0.9035361165070966,7.349082485870307,1e-09,169.0
demand,0.8329427926051591,source:21,source:21,source,1,0.0023956317035921304,0.9051702933128348,6.572768196862933,1e-09,170.0
demand,0.8211678832107318,edge:16:K5,edge:16:K5,edge,1,0.00735294119270685,0.9142527579507479,7.822562461267861,1e-09,171.0
demand,0.8270946513397206,source:22,source:22,source,1,0.003501956696365013,0.9027324512244959,8.211165664928249,1e-09,172.0
demand,0.8182120011501854,source:24,source:24,source,1,0.010992028471024545,0.8987613048312445,7.666820263482125,1e-09,173.0
demand,0.8436904539305033,source:21,source:21,source,1,0.001504957922244869,0.9045794847197199,4.9393157210440615,1e-09,174.0
demand,0.8189262969790917,edge:25:K6,edge:25:K6,edge,1,0.022755152319499733,0.9127163341717127,8.016526423325661,1e-09,175.0
demand,0.8273629824134817,source:20,source:20,source,1,0.017057209106870176,0.9107496649419413,7.305316714169712,1e-09,176.0
demand,0.8263894389961878,source:24,source:24,source,1,0.013335670464012695,0.9051943488105398,7.394564449443041,1e-09,177.0
demand,0.8272058823442354,edge:17:K8,edge:17:K8,edge,1,0.00282045622746385,0.909078810255845,6.905246140947468,1e-09,178.0
demand,0.8251374820020247,source:19,source:19,source,1,0.008065921270641213,0.906554854064877,7.2231028347939334,1e-09,179.0
demand,0.8211678832107318,edge:16:K5,edge:16:K5,edge,1,0.001828153581046666,0.9170932734260056,8.195123959290939,1e-09,180.0
demand,0.8370502109539698,source:24,source:24,source,1,0.0029891012634870465,0.9121841097114046,8.327579972837636,1e-09,181.0
demand,0.8376184315197286,source:20,source:20,source,1,0.0020061431220945417,0.9078252394864846,6.290013402595015,1e-09,182.0
demand,0.8329161519565312,source:21,source:21,source,1,0.002345299465846737,0.9035759317874377,8.903234283042133,1e-09,183.0
demand,0.827205882358336,edge:12:K5,edge:12:K5,edge,1,0.011407906594768643,0.9069178872907893,6.81529182906099,1e-09,184.0
demand,0.8265751240386746,source:19,source:19,source,1,0.0156998612738941,0.908764667900892,8.262435065636328,1e-09,185.0
demand,0.832587084494254,source:22,source:22,source,1,0.02259194714764153,0.909706898769927,7.102658567607184,1e-09,186.0
demand,0.8270172549893243,source:23,source:23,source,1,0.007637178432234189,0.9064005534063265,9.09342465911928,1e-09,187.0
demand,0.8219178082165411,edge:13:K8,edge:13:K8,edge,1,0.0053257881161691825,0.9078704480273766,6.8845276426448745,1e-09,188.0
demand,0.8310249307468066,edge:15:K5,edge:15:K5,edge,1,0.0049107521034914255,0.9081492164738904,6.35808697977142,1e-09,189.0
demand,0.8211678832090443,edge:13:K8,edge:13:K8,edge,1,0.006149030318698646,0.9037523589912976,8.40898636413975,1e-09,190.0
demand,0.8189262966322034,edge:15:K5,edge:15:K5,edge,1,0.006410256422755677,0.904070460018706,7.216948868101762,1e-09,191.0
demand,0.8294930875564899,edge:15:K5,edge:15:K5,edge,1,0.008209602691746863,0.9096989668197014,8.308909689941457,1e-09,192.0
demand,0.8371659771545519,source:19,source:19,source,1,0.01251548266895601,0.9067195138805709,6.300508887988358,1e-09,193.0
demand,0.8226691042101185,edge:12:K5,edge:12:K5,edge,1,0.002749771269296645,0.9066937298403913,7.944037547730165,1e-09,194.0
demand,0.8294930875549424,edge:13:K8,edge:13:K8,edge,1,0.01118359739257191,0.9145949845445913,6.5562168149453806,1e-09,195.0
demand,0.8364312267631158,edge:13:K8,edge:13:K8,edge,1,0.004668534507739661,0.9078566026245612,6.168015634287721,1e-09,196.0
demand,0.8196721311389145,edge:17:K8,edge:17:K8,edge,1,0.0018248175274465225,0.9044213954122156,6.970932429527791,1e-09,197.0
demand,0.8196721311566204,edge:14:K12,edge:14:K12,edge,1,0.005438993481315983,0.9065024772556954,7.005295476402106,1e-09,198.0
demand,0.8222875178020543,source:24,source:24,source,1,0.008119605112906506,0.9053034590814691,9.117084709480519,1e-09,199.0
demand,0.8288181835629351,source:23,source:23,source,1,0.006379529226225143,0.9007459680095713,8.687074357322022,1e-09,200.0
efficiency,0.8505484487512122,source:21,source:21,source,1,0.0007971960592667189,0.903288150621159,5.758891353946719,1e-09,1.0
efficiency,0.8706764182078885,source:24,source:24,source,1,0.0004809040795758164,0.9185175272567936,5.237158407315869,1e-09,2.0
efficiency,0.8159411299848698,source:22,source:22,source,1,0.00015565608994728739,0.8812958454873168,6.467453446970012,1e-09,3.0
efficiency,0.8788235294105846,edge:15:K5,edge:12:K5;edge:15:K5;edge:16:K5,edge,3,0.006330909823505603,0.9277872472024711,4.837988508025951,1e-08,4.0
efficiency,0.8195750333085036,source:24,source:24,source,1,0.0005049251320434096,0.8841254221101317,6.370196047411088,1e-08,5.0
efficiency,0.866209046979498,source:23,source:23,source,1,0.00023292907162647398,0.9140579181858013,5.406189948020951,1e-09,6.0
efficiency,0.8420719494229123,source:20,source:20,source,1,0.00015498447616007328,0.8978334456385076,5.466949132744057,1e-09,7.0
efficiency,0.8220153702964288,source:20,source:20,source,1,0.0006011196433942903,0.8879636902967967,6.0021377350014,1e-09,8.0
efficiency,0.8628111851596976,source:19,source:19,source,1,0.0004917506433798665,0.9112270106359952,5.351255905975468,1e-09,9.0
efficiency,0.8530264499654155,source:24,source:24,source,1,0.0006220825497013965,0.9062858521672336,5.553993796738258,1e-09,10.0
efficiency,0.8508603629485225,source:21,source:21,source,1,0.00024926170806795553,0.9033061682259131,5.868469573992938,1e-09,11.0
efficiency,0.8457338257457289,source:20,source:20,source,1,0.0002808232228189251,0.9025812504164231,5.523815233194456,1e-09,12.0
efficiency,0.8339594695212688,source:19,source:19,source,1,0.0004886253965918281,0.8937873360900431,5.708330709602316,1e-09,13.0
efficiency,0.8417481119663415,source:20,source:20,source,1,9.500763160401467e-05,0.8976040045860582,5.558388796272797,1e-09,14.0
